neuron_idx,source_sae,interpretation,top_example_1,top_example_2,top_example_3,top_example_4,top_example_5,top_example_6,top_example_7,top_example_8,top_example_9,top_example_10
1,"(512, 4)",Is the name of a country,CHINA,CANADA,FRANCE,INDIA,SWEDEN,ITALY,SCOTLAND,GREECE,BRAZIL,SWITZERLAND
2,"(512, 4)","references software, programming languages, or technology-related terms",UBUNTU,GNOME,PERL,HADOOP,JOGUI,LUA,MOZILLA,PUTTY,SUDO,APACHE
9,"(512, 4)",References Star Wars characters or names,OBI-WAN,OBIWAN,OBI-WAN-KENOBI,OBI-WON,CHEWBACCA,CHEWBACCCA,KENOBI,ANAKIN,AHSOKA,CHEWBAKKA
14,"(512, 4)","References Virginia-related locations, terms, or entities",WIRGINIA,VIRGINIA,VDOT,MS.VIRGINI,FAIRFAX,SHENANDOAH,JAMESTOWN,PUNGO,NORFOLK,RICHMOND
18,"(512, 4)",Is a common surname,PATTERSON,SMITH,COFFEY,MATHISON,THOMPSON,CUNNINGHAM,WOODARD,CUNNIGHAM,JOHNSTON,ELLISON
20,"(512, 4)","mentions types of grains, legumes, or seeds commonly used as food",SOYBEAN,FRIJOL,MAIZE,BEANS,FRIJOLE,CORN,BARLEY,LENTILS,CHICKPEA,LENTIL
21,"(512, 4)",Names or words associated with Nordic or Scandinavian origins,FREDRIK,NORWEGIAN,SKOGSTRAND,LUNDEN,NORDIC,ELSKER,TORKIL,NORWAY,SWEDEN,ANDERS
22,"(512, 4)",Contains names or words of Hungarian origin,PAPRIKASH,MORZSA,NAGY,LASZLO,MIKLOS,TOKAJI,ZOMBORI,CZECHO,ELISKA,SZORKA
27,"(512, 4)",Contains Polish names or words commonly found in Polish language,CZESIU,MISIEK,MOCZYDLOWSKA,RAKOWSKA,SOSNOWSKA,WOJCIECHOWSKI,JAROSZ,BOSZCZYK,PRZYGODA,KRUSZEK
28,"(512, 4)",names of famous artists or painters,PICASSO,ROTHKO,KANDINSKY,CEZANNE,GIOTTO,BASQUIAT,PAINTER,MICHELANGELO,MONDRIAN,REMBRANDT
31,"(512, 4)",contains words related to criminals or outlaws,MAFIOSO,GANGSTER,BANDIDO,RUFFIANO,OUTLAW,BANDIT,BANDIDA,HOODLUM,CRIMINAL,MENACE
32,"(512, 4)",mentions names associated with famous fighters or athletes,PACQUAIO,PACQUIAO,ROUSEY,HAGLER,LASHLEY,KIMBO,CANELO,MADUSA,CANELOPUCHY,KNOCKOUT
37,"(512, 4)",contains references to smoking or drug-related terms,SMOKES,SMOKE,SMOKEE,MARYJANE,STONER,COHIBA,SNOKEE,KIEF,CHEEBA,MARLBORO
40,"(512, 4)",mentions supernatural or dark entities,DEMON,WRAITH,DEAMON,SINISTER,DEEMON,NOSFERATU,WARLOCK,DRACULA,LILLITH,GHOSTFACE
41,"(512, 4)","Names of characters, places, or terms from J.R.R. Tolkien's works",GANDALF,ARAGORN,FRODO,GONDOR,ELBERETH,LEGOLAS,GALADRIEL,TOLKIEN,BOROMIR,BAGGINS
43,"(512, 4)",Names of well-known fictional characters from TV shows or movies,MR.FURLEY,LENNY,FONZIE,KRUSTY,STEWIE(BERMAN),KENICKIE,KERMIT,JERRY,WOODY,SHELDON
46,"(512, 4)",Contains Irish or Gaelic names,CAOILAINN,RUAIRI,SAOIRSE,EOGHAN,CAOIMHE,FIONNOULA,BLATHNAID,FIONN,FIONNUALA,TAIBHSE
49,"(512, 4)",related to quietness or silence,QUIET,HUSH,SILENCE,HUSHY,SILENCIO,SILENT,TRANQUI,WHISPER,WHISPERS,SILENZIO
62,"(512, 4)",mentions terms related to Buddhism,DHARMA,BODHISATTVA,BODHISATTA,BUDDHA,SAMADHI,DHARMATA,BUDHA,TRIPITAKA,BUDDAH,BUDHAI
63,"(512, 4)",References Oklahoma-related names or places,OKLAHOMA,TULSA,EDMOND,INOLA,OKLEY,BOOMER,NORMAN,JENKS,SOONER,ENID
67,"(512, 4)",mentions celestial bodies or terms related to the moon or space,MOON,LUNARITA,LUNAR,SATURN,LUNA,.LUNA,VENUS,COPERNICUS,LUNA`,MILKYWAY
76,"(512, 4)","Polish or Slavic-sounding surnames ending with common suffixes like -ski, -sky, -iak, or -ich",KLUKOSKY,CZYZEWSKI,PAVLETICH,GERSHKOVICH,DUBITSKY,BARTUSIAK,KOWALEWSKI,OWCZARSKI,WOJCIECHOWSKI,GODLEWSKI
77,"(512, 4)",mentions sports or athletic activities,RUGBY,VOLLEYBALL,SPORTS,SPORT,SOCCER,RUGGY,CRICKET,SOFTBALL,LACROSSE,OLYMPIC
81,"(512, 4)",names of games,YAHTZEE,POKER,RACKO,MANCALA,PINBALL,RUMMY,TENZI,LUDO,RUMMI,SCRABBLE
83,"(512, 4)","Names or words associated with toys or dolls, often anthropomorphic or child-related.",MUÑECO,MUÑECA,TAMAGACHI,BARBIE,MOOSHKA,FURBY,TCHOUPIE,BARBIIE,FURBIE,CHEBURASHKA
88,"(512, 4)",Names derived from mythological or deity-related figures,XOCHITECATL,TOCHTLI,SHANGO,IXCHEL,OCHOSI,ENKI,KAMUY,CHAAC,ZORYA,YEMAYA
93,"(512, 4)","refers to small mammals, particularly rodents or lagomorphs",RABBIT,RABBITTE,DORMOUSE,CONIGLIO,BUNNY,GERBIL,BILBY,KANIN,CHINCHILLA,NIFFLER
97,"(512, 4)",is the name of a real-world city,PARIS,HELSINKI,TOKYO,BEIJING,AMSTERDAM,SHANGHAI,SEOUL,DUBAI,LISBON,TORONTO
98,"(512, 4)",Contains words of Quechua or Andean origin,HUAYRURO,KUSIKUY,CUZCO,CACHIPAMPA,VILCA,CHILCANO,CUSCO,HUAMANI,HUASCAR,CHASKI
100,"(512, 4)",mentions types of fabrics or clothing materials,FLANNEL,SWEATER,FLEECE,CORDUROY,DENIM,CARDIGAN,PASHMINA,COTTON,CHENILLE,LINEN
101,"(512, 4)",related to mathematics or mathematical concepts,TENSOR,SIGMA,EPSILON,EULER,LAMBDA,CALCULUS,FIBONACCI,GAUSS,JACOBI,SIGMAR
107,"(512, 4)",The names correspond to well-known universities.,HARVARD,RUTGERS,YALE,CORNELL,STANFORD,LOYOLA,PRINCETON,VILLANOVA,EMORY,BAYLOR
108,"(512, 4)",refers to a variation or misspelling of the word 'sergeant',SARGEANT,SARGANT,SEARGENT,SARGAENT,SARGENT,SGT.,SERGEANT,SGT,SARGE,SARGENTO
109,"(512, 4)",related to fire or burning,BURNING,BURN,EMBERS,BLAZE,CINDERS,FIRE,PYRO,BURNT,SCORCH,FIREBALL
112,"(512, 4)",Contains uppercase Turkish characters or names commonly associated with Turkish language,CENGIZ,YILDIZ,ZEYTIN,BIRINCIS,AYDIN,BEYLIK,OGLUM,PAMUK,KADIN,BILINDA
